Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Chance of Admit ,country,country codes
115,311,105,3,3.5,3.0,8.45,1,0.59,India,2
116,310,106,4,4.5,4.5,9.04,1,0.66,India,2
117,299,102,3,4.0,3.5,8.62,0,0.56,India,2
118,290,104,4,2.0,2.5,7.46,0,0.45,India,2
119,296,99,2,3.0,3.5,7.28,0,0.47,India,2
120,327,104,5,3.0,3.5,8.84,1,0.71,India,2
121,335,117,5,5.0,5.0,9.56,1,0.94,Great Britain,1
122,334,119,5,4.5,4.5,9.48,1,0.94,Great Britain,1
123,310,106,4,1.5,2.5,8.36,0,0.57,India,2
124,308,108,3,3.5,3.5,8.22,0,0.61,France,0
125,301,106,4,2.5,3.0,8.47,0,0.57,India,2
126,300,100,3,2.0,3.0,8.66,1,0.64,India,2
127,323,113,3,4.0,3.0,9.32,1,0.85,France,0
128,319,112,3,2.5,2.0,8.71,1,0.78,France,0
129,326,112,3,3.5,3.0,9.1,1,0.84,France,0
130,333,118,5,5.0,5.0,9.35,1,0.92,Great Britain,1
131,339,114,5,4.0,4.5,9.76,1,0.96,France,0
132,303,105,5,5.0,4.5,8.65,0,0.77,India,2
133,309,105,5,3.5,3.5,8.56,0,0.71,India,2
134,323,112,5,4.0,4.5,8.78,0,0.79,France,0
135,333,113,5,4.0,4.0,9.28,1,0.89,France,0
136,314,109,4,3.5,4.0,8.77,1,0.82,France,0
137,312,103,3,5.0,4.0,8.45,0,0.76,India,2
138,316,100,2,1.5,3.0,8.16,1,0.71,India,2
139,326,116,2,4.5,3.0,9.08,1,0.8,Great Britain,1
140,318,109,1,3.5,3.5,9.12,0,0.78,France,0
141,329,110,2,4.0,3.0,9.15,1,0.84,France,0
142,332,118,2,4.5,3.5,9.36,1,0.9,Great Britain,1
143,331,115,5,4.0,3.5,9.44,1,0.92,France,0
144,340,120,4,4.5,4.0,9.92,1,0.97,Great Britain,1
145,325,112,2,3.0,3.5,8.96,1,0.8,France,0
146,320,113,2,2.0,2.5,8.64,1,0.81,France,0
147,315,105,3,2.0,2.5,8.48,0,0.75,India,2
148,326,114,3,3.0,3.0,9.11,1,0.83,France,0
149,339,116,4,4.0,3.5,9.8,1,0.96,Great Britain,1
150,311,106,2,3.5,3.0,8.26,1,0.79,India,2
151,334,114,4,4.0,4.0,9.43,1,0.93,France,0
152,332,116,5,5.0,5.0,9.28,1,0.94,Great Britain,1
153,321,112,5,5.0,5.0,9.06,1,0.86,France,0
154,324,105,3,3.0,4.0,8.75,0,0.79,India,2
155,326,108,3,3.0,3.5,8.89,0,0.8,France,0
156,312,109,3,3.0,3.0,8.69,0,0.77,France,0
157,315,105,3,2.0,2.5,8.34,0,0.7,India,2
158,309,104,2,2.0,2.5,8.26,0,0.65,India,2
159,306,106,2,2.0,2.5,8.14,0,0.61,India,2
160,297,100,1,1.5,2.0,7.9,0,0.52,India,2
161,315,103,1,1.5,2.0,7.86,0,0.57,India,2
162,298,99,1,1.5,3.0,7.46,0,0.53,India,2
163,318,109,3,3.0,3.0,8.5,0,0.67,France,0
164,317,105,3,3.5,3.0,8.56,0,0.68,India,2
165,329,111,4,4.5,4.0,9.01,1,0.81,France,0
166,322,110,5,4.5,4.0,8.97,0,0.78,France,0
167,302,102,3,3.5,5.0,8.33,0,0.65,India,2
168,313,102,3,2.0,3.0,8.27,0,0.64,India,2
169,293,97,2,2.0,4.0,7.8,1,0.64,India,2
170,311,99,2,2.5,3.0,7.98,0,0.65,India,2
171,312,101,2,2.5,3.5,8.04,1,0.68,India,2
172,334,117,5,4.0,4.5,9.07,1,0.89,Great Britain,1
173,322,110,4,4.0,5.0,9.13,1,0.86,France,0
174,323,113,4,4.0,4.5,9.23,1,0.89,France,0
175,321,111,4,4.0,4.0,8.97,1,0.87,France,0
176,320,111,4,4.5,3.5,8.87,1,0.85,France,0
177,329,119,4,4.5,4.5,9.16,1,0.9,Great Britain,1
178,319,110,3,3.5,3.5,9.04,0,0.82,France,0
179,309,108,3,2.5,3.0,8.12,0,0.72,France,0
180,307,102,3,3.0,3.0,8.27,0,0.73,India,2
181,300,104,3,3.5,3.0,8.16,0,0.71,India,2
182,305,107,2,2.5,2.5,8.42,0,0.71,India,2
183,299,100,2,3.0,3.5,7.88,0,0.68,India,2
184,314,110,3,4.0,4.0,8.8,0,0.75,France,0
185,316,106,2,2.5,4.0,8.32,0,0.72,India,2
186,327,113,4,4.5,4.5,9.11,1,0.89,France,0
187,317,107,3,3.5,3.0,8.68,1,0.84,India,2
188,335,118,5,4.5,3.5,9.44,1,0.93,Great Britain,1
189,331,115,5,4.5,3.5,9.36,1,0.93,France,0
190,324,112,5,5.0,5.0,9.08,1,0.88,France,0
191,324,111,5,4.5,4.0,9.16,1,0.9,France,0
192,323,110,5,4.0,5.0,8.98,1,0.87,France,0
193,322,114,5,4.5,4.0,8.94,1,0.86,France,0
194,336,118,5,4.5,5.0,9.53,1,0.94,Great Britain,1
195,316,109,3,3.5,3.0,8.76,0,0.77,France,0
196,307,107,2,3.0,3.5,8.52,1,0.78,India,2
197,306,105,2,3.0,2.5,8.26,0,0.73,India,2
198,310,106,2,3.5,2.5,8.33,0,0.73,India,2
199,311,104,3,4.5,4.5,8.43,0,0.7,India,2
200,313,107,3,4.0,4.5,8.69,0,0.72,India,2
201,317,103,3,2.5,3.0,8.54,1,0.73,India,2
202,315,110,2,3.5,3.0,8.46,1,0.72,France,0
203,340,120,5,4.5,4.5,9.91,1,0.97,Great Britain,1
204,334,120,5,4.0,5.0,9.87,1,0.97,Great Britain,1
205,298,105,3,3.5,4.0,8.54,0,0.69,India,2
206,295,99,2,2.5,3.0,7.65,0,0.57,India,2
207,315,99,2,3.5,3.0,7.89,0,0.63,India,2
208,310,102,3,3.5,4.0,8.02,1,0.66,India,2
209,305,106,2,3.0,3.0,8.16,0,0.64,India,2
210,301,104,3,3.5,4.0,8.12,1,0.68,India,2
211,325,108,4,4.5,4.0,9.06,1,0.79,France,0
212,328,110,4,5.0,4.0,9.14,1,0.82,France,0
213,338,120,4,5.0,5.0,9.66,1,0.95,Great Britain,1
214,333,119,5,5.0,4.5,9.78,1,0.96,Great Britain,1
215,331,117,4,4.5,5.0,9.42,1,0.94,Great Britain,1
216,330,116,5,5.0,4.5,9.36,1,0.93,Great Britain,1
217,322,112,4,4.5,4.5,9.26,1,0.91,France,0
218,321,109,4,4.0,4.0,9.13,1,0.85,France,0
219,324,110,4,3.0,3.5,8.97,1,0.84,France,0
220,312,104,3,3.5,3.5,8.42,0,0.74,India,2
221,313,103,3,4.0,4.0,8.75,0,0.76,India,2
222,316,110,3,3.5,4.0,8.56,0,0.75,France,0
223,324,113,4,4.5,4.0,8.79,0,0.76,France,0
224,308,109,2,3.0,4.0,8.45,0,0.71,France,0
225,305,105,2,3.0,2.0,8.23,0,0.67,India,2
226,296,99,2,2.5,2.5,8.03,0,0.61,India,2
227,306,110,2,3.5,4.0,8.45,0,0.63,France,0
228,312,110,2,3.5,3.0,8.53,0,0.64,France,0
229,318,112,3,4.0,3.5,8.67,0,0.71,France,0
230,324,111,4,3.0,3.0,9.01,1,0.82,France,0
231,313,104,3,4.0,4.5,8.65,0,0.73,India,2
232,319,106,3,3.5,2.5,8.33,1,0.74,India,2
233,312,107,2,2.5,3.5,8.27,0,0.69,India,2
234,304,100,2,2.5,3.5,8.07,0,0.64,India,2
235,330,113,5,5.0,4.0,9.31,1,0.91,France,0
236,326,111,5,4.5,4.0,9.23,1,0.88,France,0
237,325,112,4,4.0,4.5,9.17,1,0.85,France,0
238,329,114,5,4.5,5.0,9.19,1,0.86,France,0
239,310,104,3,2.0,3.5,8.37,0,0.7,India,2
240,299,100,1,1.5,2.0,7.89,0,0.59,India,2
241,296,101,1,2.5,3.0,7.68,0,0.6,India,2
242,317,103,2,2.5,2.0,8.15,0,0.65,India,2
243,324,115,3,3.5,3.0,8.76,1,0.7,France,0
244,325,114,3,3.5,3.0,9.04,1,0.76,France,0
245,314,107,2,2.5,4.0,8.56,0,0.63,India,2
246,328,110,4,4.0,2.5,9.02,1,0.81,France,0
247,316,105,3,3.0,3.5,8.73,0,0.72,India,2
248,311,104,2,2.5,3.5,8.48,0,0.71,India,2
249,324,110,3,3.5,4.0,8.87,1,0.8,France,0
250,321,111,3,3.5,4.0,8.83,1,0.77,France,0
251,320,104,3,3.0,2.5,8.57,1,0.74,India,2
252,316,99,2,2.5,3.0,9.0,0,0.7,India,2
253,318,100,2,2.5,3.5,8.54,1,0.71,India,2
254,335,115,4,4.5,4.5,9.68,1,0.93,France,0
255,321,114,4,4.0,5.0,9.12,0,0.85,France,0
256,307,110,4,4.0,4.5,8.37,0,0.79,France,0
257,309,99,3,4.0,4.0,8.56,0,0.76,India,2
258,324,100,3,4.0,5.0,8.64,1,0.78,India,2
259,326,102,4,5.0,5.0,8.76,1,0.77,India,2
260,331,119,4,5.0,4.5,9.34,1,0.9,Great Britain,1
261,327,108,5,5.0,3.5,9.13,1,0.87,France,0
262,312,104,3,3.5,4.0,8.09,0,0.71,India,2
263,308,103,2,2.5,4.0,8.36,1,0.7,India,2
264,324,111,3,2.5,1.5,8.79,1,0.7,France,0
265,325,110,2,3.0,2.5,8.76,1,0.75,France,0
266,313,102,3,2.5,2.5,8.68,0,0.71,India,2
267,312,105,2,2.0,2.5,8.45,0,0.72,India,2
268,314,107,3,3.0,3.5,8.17,1,0.73,India,2
269,327,113,4,4.5,5.0,9.14,0,0.83,France,0
270,308,108,4,4.5,5.0,8.34,0,0.77,France,0
271,306,105,2,2.5,3.0,8.22,1,0.72,India,2
272,299,96,2,1.5,2.0,7.86,0,0.54,India,2
273,294,95,1,1.5,1.5,7.64,0,0.49,India,2
274,312,99,1,1.0,1.5,8.01,1,0.52,India,2
275,315,100,1,2.0,2.5,7.95,0,0.58,India,2
276,322,110,3,3.5,3.0,8.96,1,0.78,France,0
277,329,113,5,5.0,4.5,9.45,1,0.89,France,0
278,320,101,2,2.5,3.0,8.62,0,0.7,India,2
279,308,103,2,3.0,3.5,8.49,0,0.66,India,2
280,304,102,2,3.0,4.0,8.73,0,0.67,India,2
281,311,102,3,4.5,4.0,8.64,1,0.68,India,2
282,317,110,3,4.0,4.5,9.11,1,0.8,France,0
283,312,106,3,4.0,3.5,8.79,1,0.81,India,2
284,321,111,3,2.5,3.0,8.9,1,0.8,France,0
285,340,112,4,5.0,4.5,9.66,1,0.94,France,0
286,331,116,5,4.0,4.0,9.26,1,0.93,Great Britain,1
287,336,118,5,4.5,4.0,9.19,1,0.92,Great Britain,1
288,324,114,5,5.0,4.5,9.08,1,0.89,France,0
289,314,104,4,5.0,5.0,9.02,0,0.82,India,2
290,313,109,3,4.0,3.5,9.0,0,0.79,France,0
291,307,105,2,2.5,3.0,7.65,0,0.58,India,2
292,300,102,2,1.5,2.0,7.87,0,0.56,India,2
293,302,99,2,1.0,2.0,7.97,0,0.56,India,2
294,312,98,1,3.5,3.0,8.18,1,0.64,India,2
295,316,101,2,2.5,2.0,8.32,1,0.61,India,2
296,317,100,2,3.0,2.5,8.57,0,0.68,India,2
297,310,107,3,3.5,3.5,8.67,0,0.76,India,2
298,320,120,3,4.0,4.5,9.11,0,0.86,Great Britain,1
299,330,114,3,4.5,4.5,9.24,1,0.9,France,0
300,305,112,3,3.0,3.5,8.65,0,0.71,France,0
301,309,106,2,2.5,2.5,8.0,0,0.62,India,2
302,319,108,2,2.5,3.0,8.76,0,0.66,France,0
303,322,105,2,3.0,3.0,8.45,1,0.65,India,2
304,323,107,3,3.5,3.5,8.55,1,0.73,India,2
305,313,106,2,2.5,2.0,8.43,0,0.62,India,2
306,321,109,3,3.5,3.5,8.8,1,0.74,France,0
307,323,110,3,4.0,3.5,9.1,1,0.79,France,0
308,325,112,4,4.0,4.0,9.0,1,0.8,France,0
309,312,108,3,3.5,3.0,8.53,0,0.69,France,0
310,308,110,4,3.5,3.0,8.6,0,0.7,France,0
311,320,104,3,3.0,3.5,8.74,1,0.76,India,2
312,328,108,4,4.5,4.0,9.18,1,0.84,France,0
313,311,107,4,4.5,4.5,9.0,1,0.78,India,2
314,301,100,3,3.5,3.0,8.04,0,0.67,India,2
315,305,105,2,3.0,4.0,8.13,0,0.66,India,2
316,308,104,2,2.5,3.0,8.07,0,0.65,India,2
317,298,101,2,1.5,2.0,7.86,0,0.54,India,2
318,300,99,1,1.0,2.5,8.01,0,0.58,India,2
319,324,111,3,2.5,2.0,8.8,1,0.79,France,0
320,327,113,4,3.5,3.0,8.69,1,0.8,France,0
321,317,106,3,4.0,3.5,8.5,1,0.75,India,2
322,323,104,3,4.0,4.0,8.44,1,0.73,India,2
323,314,107,2,2.5,4.0,8.27,0,0.72,India,2
324,305,102,2,2.0,2.5,8.18,0,0.62,India,2
325,315,104,3,3.0,2.5,8.33,0,0.67,India,2
326,326,116,3,3.5,4.0,9.14,1,0.81,Great Britain,1
327,299,100,3,2.0,2.0,8.02,0,0.63,India,2
328,295,101,2,2.5,2.0,7.86,0,0.69,India,2
329,324,112,4,4.0,3.5,8.77,1,0.8,France,0
330,297,96,2,2.5,1.5,7.89,0,0.43,India,2
331,327,113,3,3.5,3.0,8.66,1,0.8,France,0
332,311,105,2,3.0,2.0,8.12,1,0.73,India,2
333,308,106,3,3.5,2.5,8.21,1,0.75,India,2
334,319,108,3,3.0,3.5,8.54,1,0.71,France,0
335,312,107,4,4.5,4.0,8.65,1,0.73,India,2
336,325,111,4,4.0,4.5,9.11,1,0.83,France,0
337,319,110,3,3.0,2.5,8.79,0,0.72,France,0
338,332,118,5,5.0,5.0,9.47,1,0.94,Great Britain,1
339,323,108,5,4.0,4.0,8.74,1,0.81,France,0
340,324,107,5,3.5,4.0,8.66,1,0.81,India,2
341,312,107,3,3.0,3.0,8.46,1,0.75,India,2
342,326,110,3,3.5,3.5,8.76,1,0.79,France,0
343,308,106,3,3.0,3.0,8.24,0,0.58,India,2
344,305,103,2,2.5,3.5,8.13,0,0.59,India,2
345,295,96,2,1.5,2.0,7.34,0,0.47,India,2
346,316,98,1,1.5,2.0,7.43,0,0.49,India,2
347,304,97,2,1.5,2.0,7.64,0,0.47,India,2
348,299,94,1,1.0,1.0,7.34,0,0.42,India,2
349,302,99,1,2.0,2.0,7.25,0,0.57,India,2
350,313,101,3,2.5,3.0,8.04,0,0.62,India,2
351,318,107,3,3.0,3.5,8.27,1,0.74,India,2
352,325,110,4,3.5,4.0,8.67,1,0.73,France,0
353,303,100,2,3.0,3.5,8.06,1,0.64,India,2
354,300,102,3,3.5,2.5,8.17,0,0.63,India,2
355,297,98,2,2.5,3.0,7.67,0,0.59,India,2
356,317,106,2,2.0,3.5,8.12,0,0.73,India,2
357,327,109,3,3.5,4.0,8.77,1,0.79,France,0
358,301,104,2,3.5,3.5,7.89,1,0.68,India,2
359,314,105,2,2.5,2.0,7.64,0,0.7,India,2
360,321,107,2,2.0,1.5,8.44,0,0.81,India,2
361,322,110,3,4.0,5.0,8.64,1,0.85,France,0
362,334,116,4,4.0,3.5,9.54,1,0.93,Great Britain,1
363,338,115,5,4.5,5.0,9.23,1,0.91,France,0
364,306,103,2,2.5,3.0,8.36,0,0.69,India,2
365,313,102,3,3.5,4.0,8.9,1,0.77,India,2
366,330,114,4,4.5,3.0,9.17,1,0.86,France,0
367,320,104,3,3.5,4.5,8.34,1,0.74,India,2
368,311,98,1,1.0,2.5,7.46,0,0.57,India,2
369,298,92,1,2.0,2.0,7.88,0,0.51,India,2
370,301,98,1,2.0,3.0,8.03,1,0.67,India,2
371,310,103,2,2.5,2.5,8.24,0,0.72,India,2
372,324,110,3,3.5,3.0,9.22,1,0.89,France,0
373,336,119,4,4.5,4.0,9.62,1,0.95,Great Britain,1
374,321,109,3,3.0,3.0,8.54,1,0.79,France,0
375,315,105,2,2.0,2.5,7.65,0,0.39,India,2
376,304,101,2,2.0,2.5,7.66,0,0.38,India,2
377,297,96,2,2.5,2.0,7.43,0,0.34,India,2
378,290,100,1,1.5,2.0,7.56,0,0.47,India,2
379,303,98,1,2.0,2.5,7.65,0,0.56,India,2
380,311,99,1,2.5,3.0,8.43,1,0.71,India,2
381,322,104,3,3.5,4.0,8.84,1,0.78,India,2
382,319,105,3,3.0,3.5,8.67,1,0.73,India,2
383,324,110,4,4.5,4.0,9.15,1,0.82,France,0
384,300,100,3,3.0,3.5,8.26,0,0.62,India,2
385,340,113,4,5.0,5.0,9.74,1,0.96,France,0
386,335,117,5,5.0,5.0,9.82,1,0.96,Great Britain,1
387,302,101,2,2.5,3.5,7.96,0,0.46,India,2
388,307,105,2,2.0,3.5,8.1,0,0.53,India,2
389,296,97,2,1.5,2.0,7.8,0,0.49,India,2
390,320,108,3,3.5,4.0,8.44,1,0.76,France,0
391,314,102,2,2.0,2.5,8.24,0,0.64,India,2
392,318,106,3,2.0,3.0,8.65,0,0.71,India,2
393,326,112,4,4.0,3.5,9.12,1,0.84,France,0
394,317,104,2,3.0,3.0,8.76,0,0.77,India,2
395,329,111,4,4.5,4.0,9.23,1,0.89,France,0
396,324,110,3,3.5,3.5,9.04,1,0.82,France,0
397,325,107,3,3.0,3.5,9.11,1,0.84,India,2
398,330,116,4,5.0,4.5,9.45,1,0.91,Great Britain,1
399,312,103,3,3.5,4.0,8.78,0,0.67,India,2
400,333,117,4,5.0,4.0,9.66,1,0.95,Great Britain,1
401,304,100,2,3.5,3.0,8.22,0,0.63,India,2
402,315,105,2,3.0,3.0,8.34,0,0.66,India,2
403,324,109,3,3.5,3.0,8.94,1,0.78,France,0
404,330,116,4,4.0,3.5,9.23,1,0.91,Great Britain,1
405,311,101,3,2.0,2.5,7.64,1,0.62,India,2
406,302,99,3,2.5,3.0,7.45,0,0.52,India,2
407,322,103,4,3.0,2.5,8.02,1,0.61,India,2
408,298,100,3,2.5,4.0,7.95,1,0.58,India,2
409,297,101,3,2.0,4.0,7.67,1,0.57,India,2
410,300,98,1,2.0,2.5,8.02,0,0.61,India,2
411,301,96,1,3.0,4.0,7.56,0,0.54,India,2
412,313,94,2,2.5,1.5,8.13,0,0.56,India,2
413,314,102,4,2.5,2.0,7.88,1,0.59,India,2
414,317,101,3,3.0,2.0,7.94,1,0.49,India,2
415,321,110,4,3.5,4.0,8.35,1,0.72,France,0
416,327,106,4,4.0,4.5,8.75,1,0.76,India,2
417,315,104,3,4.0,2.5,8.1,0,0.65,India,2
418,316,103,3,3.5,2.0,7.68,0,0.52,India,2
419,309,111,2,2.5,4.0,8.03,0,0.6,France,0
420,308,102,2,2.0,3.5,7.98,1,0.58,India,2
421,299,100,3,2.0,3.0,7.42,0,0.42,India,2
422,321,112,3,3.0,4.5,8.95,1,0.77,France,0
423,322,112,4,3.5,2.5,9.02,1,0.73,France,0
424,334,119,5,4.5,5.0,9.54,1,0.94,Great Britain,1
425,325,114,5,4.0,5.0,9.46,1,0.91,France,0
426,323,111,5,4.0,5.0,9.86,1,0.92,France,0
427,312,106,3,3.0,5.0,8.57,0,0.71,India,2
428,310,101,3,3.5,5.0,8.65,1,0.71,India,2
429,316,103,2,2.0,4.5,8.74,0,0.69,India,2
430,340,115,5,5.0,4.5,9.06,1,0.95,France,0
431,311,104,3,4.0,3.5,8.13,1,0.74,India,2
432,320,112,2,3.5,3.5,8.78,1,0.73,France,0
433,324,112,4,4.5,4.0,9.22,1,0.86,France,0
434,316,111,4,4.0,5.0,8.54,0,0.71,France,0
435,306,103,3,3.5,3.0,8.21,0,0.64,India,2
436,309,105,2,2.5,4.0,7.68,0,0.55,India,2
437,310,110,1,1.5,4.0,7.23,1,0.58,France,0
438,317,106,1,1.5,3.5,7.65,1,0.61,India,2
439,318,110,1,2.5,3.5,8.54,1,0.67,France,0
440,312,105,2,1.5,3.0,8.46,0,0.66,India,2
441,305,104,2,2.5,1.5,7.79,0,0.53,India,2
442,332,112,1,1.5,3.0,8.66,1,0.79,France,0
443,331,116,4,4.5,4.5,9.44,1,0.92,Great Britain,1
444,321,114,5,4.5,4.5,9.16,1,0.87,France,0
445,324,113,5,4.0,5.0,9.25,1,0.92,France,0
446,328,116,5,4.5,5.0,9.08,1,0.91,Great Britain,1
447,327,118,4,5.0,5.0,9.67,1,0.93,Great Britain,1
448,320,108,3,3.5,5.0,8.97,1,0.84,France,0
449,312,109,2,2.5,4.0,9.02,0,0.8,France,0
450,315,101,3,3.5,4.5,9.13,0,0.79,India,2
451,320,112,4,3.0,4.5,8.86,1,0.82,France,0
452,324,113,4,4.5,4.5,9.25,1,0.89,France,0
453,328,116,4,5.0,3.5,9.6,1,0.93,Great Britain,1
454,319,103,3,2.5,4.0,8.76,1,0.73,India,2
455,310,105,2,3.0,3.5,8.01,0,0.71,India,2
456,305,102,2,1.5,2.5,7.64,0,0.59,India,2
